date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:09	155/155	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:08%20GMT	https://azure.microsoft.com/dest/video.js/src/js/player.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/player.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:10	154/154	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:09%20GMT	https://azure.microsoft.com/dest/video.js/src/js/video.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/video.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:11	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:10%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/dom.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/dom.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:12	157/157	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:11%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:13	162/162	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:12%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/browser.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/browser.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:14	140/140	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:13%20GMT	https://azure.microsoft.com/dest/ampDefs.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/ampDefs.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:15	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:14%20GMT	https://azure.microsoft.com/dest/video.js/src/js/tech/tech.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/tech/tech.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:16	159/159	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:15%20GMT	https://azure.microsoft.com/dest/video.js/src/js/tech/flash.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/tech/flash.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:17	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:16%20GMT	https://azure.microsoft.com/dest/video.js/src/js/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:18	155/155	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:17%20GMT	https://azure.microsoft.com/dest/video.js/src/js/player.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/player.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:19	154/154	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:18%20GMT	https://azure.microsoft.com/dest/video.js/src/js/video.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/video.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
